Country,Type,Value,ISO-code
Tanzania,Life_expectancy,650,TZA
Thailand,Life_expectancy,769,THA
The Bahamas,Life_expectancy,738,BHS
The Gambia,Life_expectancy,617,GMB
Togo,Life_expectancy,608,TGO
Tonga,Life_expectancy,708,TON
Trinidad and Tobago,Life_expectancy,734,TTO
Tunisia,Life_expectancy,765,TUN
Turkey,Life_expectancy,783,TUR
Turkmenistan,Life_expectancy,681,TKM
Uganda,Life_expectancy,630,UGA
Ukraine,Life_expectancy,720,UKR
United Arab Emirates,Life_expectancy,778,ARE
United Kingdom,Life_expectancy,812,GBR
United States,Life_expectancy,789,USA
Uruguay,Life_expectancy,778,URY
Uzbekistan,Life_expectancy,715,UZB
Vanuatu,Life_expectancy,703,VUT
Venezuela,Life_expectancy,721,VEN
Vietnam,Life_expectancy,753,VNM
Yemen,Life_expectancy,661,YEM
Zambia,Life_expectancy,635,ZMB
Zimbabwe,Life_expectancy,612,ZWE
Afghanistan,Population_growth,241,AFG
Algeria,Population_growth,189,DZA
Andorra,Population_growth,63,AND
Angola,Population_growth,312,AGO
Antigua and Barbuda,Population_growth,103,ATG
Argentina,Population_growth,88,ARG
Armenia,Population_growth,17,ARM
Australia,Population_growth,16,AUS
Austria,Population_growth,46,AUT
Azerbaijan,Population_growth,135,AZE
Bahrain,Population_growth,192,BHR
Bangladesh,Population_growth,119,BGD
Barbados,Population_growth,5,BRB
Belarus,Population_growth,-1,BLR
Belgium,Population_growth,85,BEL
Belize,Population_growth,243,BLZ
Benin,Population_growth,273,BEN
Bhutan,Population_growth,168,BTN
Bolivia,Population_growth,165,BOL
Bosnia and Herzegovina,Population_growth,-14,BIH
Botswana,Population_growth,86,BWA
Brazil,Population_growth,87,BRA
Brunei,Population_growth,14,BRN
Bulgaria,Population_growth,-6,BGR
Burkina Faso,Population_growth,286,BFA
Burundi,Population_growth,319,BDI
Cambodia,Population_growth,176,KHM
Cameroon,Population_growth,254,CMR
Canada,Population_growth,114,CAN
Cape Verde,Population_growth,78,CPV
Central African Republic,Population_growth,199,CAF
Chad,Population_growth,30,TCD
Chile,Population_growth,9,CHL
China,Population_growth,49,CHN
Colombia,Population_growth,132,COL
Comoros,Population_growth,244,COM
Costa Rica,Population_growth,142,CRI
Croatia,Population_growth,-32,HRV
Cuba,Population_growth,-5,CUB
Cyprus,Population_growth,111,CYP
Czech Republic,Population_growth,18,CZE
Democratic Republic of the Congo,Population_growth,274,COD
Denmark,Population_growth,36,DNK
Djibouti,Population_growth,152,DJI
Dominican Republic,Population_growth,126,DOM
East Timor,Population_growth,288,TLS
Ecuador,Population_growth,16,ECU
Egypt,Population_growth,166,EGY
El Salvador,Population_growth,66,SLV
Equatorial Guinea,Population_growth,28,GNQ
Eritrea,Population_growth,328,ERI
Estonia,Population_growth,-4,EST
Eswatini,Population_growth,154,SWZ
Ethiopia,Population_growth,258,ETH
Fiji,Population_growth,78,FJI
Finland,Population_growth,48,FIN
France,Population_growth,5,FRA
Gabon,Population_growth,239,GAB
Georgia,Population_growth,63,GEO
Germany,Population_growth,11,DEU
Ghana,Population_growth,217,GHA
Greece,Population_growth,-18,GRC
Greenland,Population_growth,-11,GRL
