,Country,Life expectancy,ISO-code,Population growth,GDP per capita,Fertility
110,Morocco,76.5,MAR,1.43,9667.0,3.1
111,Mozambique,60.2,MOZ,2.5,1372.0,4.9
112,Myanmar,66.9,MMR,0.85,7220.0,2.2
113,Namibia,63.4,NAM,1.87,11451.0,3.4
114,Nepal,70.5,NPL,1.16,3550.0,1.9
115,Netherlands,82.1,NLD,0.45,60299.0,1.6
116,New Zealand,82.1,NZL,0.63,42045.0,1.7
117,Nicaragua,74.3,NIC,1.46,5297.0,2.4
118,Niger,62.0,NER,3.84,1152.0,5.3
119,Nigeria,54.3,NGA,2.79,6172.0,5.4
120,North Macedonia,75.7,MKD,0.08,17378.0,1.5
121,Norway,82.5,NOR,1.32,79638.0,1.6
122,Oman,77.6,OMN,9.13,48593.0,2.9
123,Pakistan,67.1,PAK,2.69,6016.0,3.5
124,Palau,73.7,PLW,0.72,16855.0,2.2
125,Palestine,73.9,PSE,3.01,,
126,Panama,78.3,PAN,1.64,28456.0,2.5
127,Papua New Guinea,64.3,PNG,2.17,4081.0,3.6
128,Paraguay,74.1,PRY,1.72,13213.0,2.4
129,Peru,76.5,PER,1.25,15399.0,2.3
130,Philippines,71.1,PHL,1.72,10094.0,2.6
131,Poland,78.5,POL,0.02,35651.0,1.5
132,Portugal,81.9,PRT,-0.29,34936.0,1.4
133,Republic of the Congo,64.3,COG,2.61,7336.0,4.4
134,Romania,75.9,ROU,-0.27,29555.0,1.8
135,Russia,72.4,RUS,0.4,30820.0,1.82
136,Rwanda,68.7,RWA,2.77,2642.0,4.0
137,Saint Kitts and Nevis,74.6,KNA,1.15,31950.0,
138,Saint Lucia,76.1,LCA,0.89,15159.0,
139,Saint Vincent and the Grenadines,72.4,VCT,0.01,12983.0,
140,Samoa,73.2,WSM,0.78,6493.0,3.9
141,Sao Tome and Principe,70.2,STP,,,4.3
142,Saudi Arabia,75.0,SAU,1.88,56912.0,2.3
143,Senegal,67.7,SEN,2.92,4079.0,4.6
144,Serbia,75.8,SRB,-0.48,19767.0,1.5
145,Seychelles,73.3,SYC,0.39,33118.0,2.4
146,Sierra Leone,54.3,SLE,1.91,1765.0,4.3
147,Singapore,83.8,SGP,2.45,105689.0,1.1
148,Slovakia,77.4,SVK,0.22,38321.0,
149,Slovenia,81.2,SVN,0.26,40344.0,1.6
150,Solomon Islands,72.8,SLB,2.13,2363.0,4.4
151,Somalia,56.7,SOM,2.86,314.5,6.1
152,South Africa,63.9,ZAF,1.18,13965.0,2.4
153,South Sudan,57.6,SSD,4.3,1715.0,4.7
154,Spain,83.4,ESP,0.09,43007.0,1.3
155,Sri Lanka,76.8,LKA,1.04,14509.0,2.2
156,Sudan,65.1,SDN,2.08,3986.0,4.4
157,Suriname,71.6,SUR,0.9,16044.0,2.4
158,Sweden,82.7,SWE,0.71,55989.0,1.8
159,Syria,71.8,SYR,1.97,,2.8
160,Tajikistan,70.9,TJK,2.45,3751.0,3.6
161,Tanzania,65.0,TZA,3.04,3652.0,4.9
162,Thailand,76.9,THA,0.31,21361.0,1.5
163,The Bahamas,73.8,BHS,1.52,33432.0,1.8
164,The Gambia,61.7,GMB,3.19,2892.0,5.2
165,Togo,60.8,TGO,2.6,1913.0,4.3
166,Tonga,70.8,TON,0.37,6867.0,3.6
167,Trinidad and Tobago,73.4,TTO,0.33,33713.0,1.7
168,Tunisia,76.5,TUN,0.97,13093.0,2.2
169,Turkey,78.3,TUR,1.28,29327.0,2.1
170,Turkmenistan,68.1,TKM,1.29,21855.0,2.8
171,Uganda,63.0,UGA,3.35,2753.0,5.0
172,Ukraine,72.0,UKR,-0.25,10130.0,1.3
173,United Arab Emirates,77.8,ARE,3.1,70441.0,1.4
174,United Kingdom,81.2,GBR,0.75,48169.0,1.7
175,United States,78.9,USA,0.74,67426.0,1.7
176,Uruguay,77.8,URY,0.35,24516.0,2.0
177,Uzbekistan,71.5,UZB,1.47,9595.0,2.4
178,Vanuatu,70.3,VUT,2.24,3039.0,3.8
179,Venezuela,72.1,VEN,1.53,16055.0,2.3
180,Vietnam,75.3,VNM,1.06,8677.0,2.0
181,Yemen,66.1,YEM,2.33,2312.0,3.8
182,Zambia,63.5,ZMB,3.19,4174.0,4.6
183,Zimbabwe,61.2,ZWE,2.7,2778.0,3.6
