Country,Type,Value,ISO-code
South Sudan,Life expectancy,57.6,SSD
Spain,Life expectancy,83.4,ESP
Sri Lanka,Life expectancy,76.8,LKA
Sudan,Life expectancy,65.1,SDN
Suriname,Life expectancy,71.6,SUR
Sweden,Life expectancy,82.7,SWE
Syria,Life expectancy,71.8,SYR
Tajikistan,Life expectancy,70.9,TJK
Tanzania,Life expectancy,65,TZA
Thailand,Life expectancy,76.9,THA
The Bahamas,Life expectancy,73.8,BHS
The Gambia,Life expectancy,61.7,GMB
Togo,Life expectancy,60.8,TGO
Tonga,Life expectancy,70.8,TON
Trinidad and Tobago,Life expectancy,73.4,TTO
Tunisia,Life expectancy,76.5,TUN
Turkey,Life expectancy,78.3,TUR
Turkmenistan,Life expectancy,68.1,TKM
Uganda,Life expectancy,63,UGA
Ukraine,Life expectancy,72,UKR
United Arab Emirates,Life expectancy,77.8,ARE
United Kingdom,Life expectancy,81.2,GBR
United States,Life expectancy,78.9,USA
Uruguay,Life expectancy,77.8,URY
Uzbekistan,Life expectancy,71.5,UZB
Vanuatu,Life expectancy,70.3,VUT
Venezuela,Life expectancy,72.1,VEN
Vietnam,Life expectancy,75.3,VNM
Yemen,Life expectancy,66.1,YEM
Zambia,Life expectancy,63.5,ZMB
Zimbabwe,Life expectancy,61.2,ZWE
Afghanistan,Population growth,2.41,AFG
Algeria,Population growth,1.89,DZA
Andorra,Population growth,0.63,AND
Angola,Population growth,3.12,AGO
Antigua and Barbuda,Population growth,1.03,ATG
Argentina,Population growth,0.88,ARG
Armenia,Population growth,0.17,ARM
Australia,Population growth,1.6,AUS
Austria,Population growth,0.46,AUT
Azerbaijan,Population growth,1.35,AZE
Bahrain,Population growth,1.92,BHR
Bangladesh,Population growth,1.19,BGD
Barbados,Population growth,0.5,BRB
Belarus,Population growth,-0.1,BLR
Belgium,Population growth,0.85,BEL
Belize,Population growth,2.43,BLZ
Benin,Population growth,2.73,BEN
Bhutan,Population growth,1.68,BTN
Bolivia,Population growth,1.65,BOL
Bosnia and Herzegovina,Population growth,-0.14,BIH
Botswana,Population growth,0.86,BWA
Brazil,Population growth,0.87,BRA
Brunei,Population growth,1.4,BRN
Bulgaria,Population growth,-0.6,BGR
