Country,ISO-code,Type,Value
Trinidad and Tobago,TTO,Total Vaccinations,62.866
Tunisia,TUN,Total Vaccinations,47.779
Turkey,TUR,Total Vaccinations,109.926
Turkmenistan,TKM,Total Vaccinations,0.696
Uganda,UGA,Total Vaccinations,2.544
Ukraine,UKR,Total Vaccinations,20.328
United Arab Emirates,ARE,Total Vaccinations,182.957
United Kingdom,GBR,Total Vaccinations,131.8
United States,USA,Total Vaccinations,110.971
Uruguay,URY,Total Vaccinations,156.498
Uzbekistan,UZB,Total Vaccinations,36.163
Vanuatu,VUT,Total Vaccinations,12.449
Venezuela,VEN,Total Vaccinations,32.181
Vietnam,VNM,Total Vaccinations,16.752
Yemen,YEM,Total Vaccinations,1.044
Zambia,ZMB,Total Vaccinations,2.74
Zimbabwe,ZWE,Total Vaccinations,25.382
Afghanistan,AFG,First Dose Vac,1.979
Algeria,DZA,First Dose Vac,7.802
Andorra,AND,First Dose Vac,66.064
Angola,AGO,First Dose Vac,3.119
Antigua and Barbuda,ATG,First Dose Vac,40.65
Argentina,ARG,First Dose Vac,61.081
Armenia,ARM,First Dose Vac,5.193
Australia,AUS,First Dose Vac,42.676
Austria,AUT,First Dose Vac,61.663
Azerbaijan,AZE,First Dose Vac,38.755
Bahrain,BHR,First Dose Vac,67.125
Bangladesh,BGD,First Dose Vac,10.47
Barbados,BRB,First Dose Vac,36.769
Belarus,BLR,First Dose Vac,15.834
Belgium,BEL,First Dose Vac,72.805
Belize,BLZ,First Dose Vac,39.928
Benin,BEN,First Dose Vac,0.459
Bhutan,BTN,First Dose Vac,72.759
Bolivia,BOL,First Dose Vac,32.291
Bosnia and Herzegovina,BIH,First Dose Vac,17.288
Botswana,BWA,First Dose Vac,11.632
Brazil,BRA,First Dose Vac,59.382
Brunei,BRN,First Dose Vac,41.194
Bulgaria,BGR,First Dose Vac,
Burkina Faso,BFA,First Dose Vac,0.372
Cambodia,KHM,First Dose Vac,58.926
Cameroon,CMR,First Dose Vac,1.312
Canada,CAN,First Dose Vac,73.619
Cape Verde,CPV,First Dose Vac,41.292
Central African Republic,CAF,First Dose Vac,1.61
Chad,TCD,First Dose Vac,0.225
Chile,CHL,First Dose Vac,71.429
China,CHN,First Dose Vac,
Colombia,COL,First Dose Vac,44.281
Comoros,COM,First Dose Vac,20.129
Costa Rica,CRI,First Dose Vac,59.471
Croatia,HRV,First Dose Vac,42.357
Cuba,CUB,First Dose Vac,46.688
Cyprus,CYP,First Dose Vac,64.189
Czech Republic,CZE,First Dose Vac,55.402
Democratic Republic of the Congo,COD,First Dose Vac,0.092
Denmark,DNK,First Dose Vac,75.517
Djibouti,DJI,First Dose Vac,1.872
Dominican Republic,DOM,First Dose Vac,53.248
East Timor,TLS,First Dose Vac,28.471
Ecuador,ECU,First Dose Vac,56.981
Egypt,EGY,First Dose Vac,5.488
El Salvador,SLV,First Dose Vac,53.209
Equatorial Guinea,GNQ,First Dose Vac,13.509
Estonia,EST,First Dose Vac,54.349
Eswatini,SWZ,First Dose Vac,13.891
Ethiopia,ETH,First Dose Vac,1.773
Fiji,FJI,First Dose Vac,60.601
Finland,FIN,First Dose Vac,72.64
France,FRA,First Dose Vac,73.787
Gabon,GAB,First Dose Vac,3.357
Georgia,GEO,First Dose Vac,19.329
Germany,DEU,First Dose Vac,64.889
Ghana,GHA,First Dose Vac,2.785
Greece,GRC,First Dose Vac,56.067
Greenland,GRL,First Dose Vac,69.444
Grenada,GRD,First Dose Vac,21.298
Guatemala,GTM,First Dose Vac,17.541
Guinea,GIN,First Dose Vac,5.702
Guyana,GUY,First Dose Vac,39.255
Haiti,HTI,First Dose Vac,0.239
Honduras,HND,First Dose Vac,21.585
Hungary,HUN,First Dose Vac,58.604
Iceland,ISL,First Dose Vac,76.653
India,IND,First Dose Vac,33.391
Indonesia,IDN,First Dose Vac,21.469
Iran,IRN,First Dose Vac,21.741
Iraq,IRQ,First Dose Vac,1.739
Ireland,IRL,First Dose Vac,73.708
Israel,ISR,First Dose Vac,68.761
Italy,ITA,First Dose Vac,70.839
Ivory Coast,CIV,First Dose Vac,4.014
Jamaica,JAM,First Dose Vac,12.088
Japan,JPN,First Dose Vac,52.606
Jordan,JOR,First Dose Vac,33.545
Kazakhstan,KAZ,First Dose Vac,34.962
Kenya,KEN,First Dose Vac,3.523
Kiribati,KIR,First Dose Vac,11.695
Kuwait,KWT,First Dose Vac,
Kyrgyzstan,KGZ,First Dose Vac,10.364
Laos,LAO,First Dose Vac,28.32
Latvia,LVA,First Dose Vac,44.56
Lebanon,LBN,First Dose Vac,21.056
Lesotho,LSO,First Dose Vac,1.91
Liberia,LBR,First Dose Vac,2.067
Libya,LBY,First Dose Vac,13.84
Liechtenstein,LIE,First Dose Vac,58.402
Lithuania,LTU,First Dose Vac,58.997
Luxembourg,LUX,First Dose Vac,64.685
Madagascar,MDG,First Dose Vac,0.711
Malawi,MWI,First Dose Vac,3.463
Malaysia,MYS,First Dose Vac,55.016
Mali,MLI,First Dose Vac,1.037
Malta,MLT,First Dose Vac,80.252
Marshall Islands,MHL,First Dose Vac,34.938
Mauritania,MRT,First Dose Vac,5.177
Mauritius,MUS,First Dose Vac,61.888
Mexico,MEX,First Dose Vac,44.151
Micronesia,FSM,First Dose Vac,34.078
Moldova,MDA,First Dose Vac,
Mongolia,MNG,First Dose Vac,67.914
Montenegro,MNE,First Dose Vac,33.253
Morocco,MAR,First Dose Vac,49.381
Mozambique,MOZ,First Dose Vac,5.258
Myanmar,MMR,First Dose Vac,4.889
Namibia,NAM,First Dose Vac,7.892
Nepal,NPL,First Dose Vac,16.967
Netherlands,NLD,First Dose Vac,68.74
New Zealand,NZL,First Dose Vac,31.967
Nicaragua,NIC,First Dose Vac,6.688
Niger,NER,First Dose Vac,1.67
Nigeria,NGA,First Dose Vac,1.337
North Macedonia,MKD,First Dose Vac,33.771
Norway,NOR,First Dose Vac,71.491
Oman,OMN,First Dose Vac,30.371
Pakistan,PAK,First Dose Vac,18.087
Palau,PLW,First Dose Vac,87.447
Palestine,PSE,First Dose Vac,14.317
Panama,PAN,First Dose Vac,63.347
Papua New Guinea,PNG,First Dose Vac,1.1
Paraguay,PRY,First Dose Vac,31.777
Peru,PER,First Dose Vac,30.302
Philippines,PHL,First Dose Vac,18.382
Poland,POL,First Dose Vac,50.633
Portugal,PRT,First Dose Vac,82.492
Republic of the Congo,COG,First Dose Vac,1.431
Romania,ROU,First Dose Vac,27.041
Russia,RUS,First Dose Vac,29.765
Rwanda,RWA,First Dose Vac,3.481
Saint Kitts and Nevis,KNA,First Dose Vac,45.511
Saint Lucia,LCA,First Dose Vac,19.445
Saint Vincent and the Grenadines,VCT,First Dose Vac,14.798
Samoa,WSM,First Dose Vac,44.067
Sao Tome and Principe,STP,First Dose Vac,14.653
Saudi Arabia,SAU,First Dose Vac,63.505
Senegal,SEN,First Dose Vac,6.909
Serbia,SRB,First Dose Vac,42.11
Seychelles,SYC,First Dose Vac,75.558
Sierra Leone,SLE,First Dose Vac,2.003
Singapore,SGP,First Dose Vac,76.495
Slovakia,SVK,First Dose Vac,43.354
Slovenia,SVN,First Dose Vac,47.075
Solomon Islands,SLB,First Dose Vac,7.858
Somalia,SOM,First Dose Vac,1.226
South Africa,ZAF,First Dose Vac,10.007
South Sudan,SSD,First Dose Vac,0.467
Spain,ESP,First Dose Vac,76.559
Sri Lanka,LKA,First Dose Vac,56.739
Sudan,SDN,First Dose Vac,1.468
Suriname,SUR,First Dose Vac,33.815
Sweden,SWE,First Dose Vac,66.36
Syria,SYR,First Dose Vac,1.151
Tajikistan,TJK,First Dose Vac,19.836
Tanzania,TZA,First Dose Vac,
Thailand,THA,First Dose Vac,29.843
The Bahamas,BHS,First Dose Vac,19.371
The Gambia,GMB,First Dose Vac,1.478
Togo,TGO,First Dose Vac,4.311
Tonga,TON,First Dose Vac,37.375
Trinidad and Tobago,TTO,First Dose Vac,35.586
Tunisia,TUN,First Dose Vac,30.613
Turkey,TUR,First Dose Vac,56.529
Turkmenistan,TKM,First Dose Vac,0.535
Uganda,UGA,First Dose Vac,1.972
Ukraine,UKR,First Dose Vac,12.108
United Arab Emirates,ARE,First Dose Vac,
United Kingdom,GBR,First Dose Vac,70.251
United States,USA,First Dose Vac,63.1
Uruguay,URY,First Dose Vac,76.398
Uzbekistan,UZB,First Dose Vac,25.605
Vanuatu,VUT,First Dose Vac,10.306
Venezuela,VEN,First Dose Vac,20.448
Vietnam,VNM,First Dose Vac,15.071
Yemen,YEM,First Dose Vac,1
Zambia,ZMB,First Dose Vac,1.653
Zimbabwe,ZWE,First Dose Vac,15.558
Afghanistan,AFG,Fully Vac,1.107
Algeria,DZA,Fully Vac,1.653
Andorra,AND,Fully Vac,52.567
Angola,AGO,Fully Vac,2.57
Antigua and Barbuda,ATG,Fully Vac,33.794
Argentina,ARG,Fully Vac,29.549
Armenia,ARM,Fully Vac,2.884
Australia,AUS,Fully Vac,24.473
Austria,AUT,Fully Vac,58.275
Azerbaijan,AZE,Fully Vac,25.292
Bahrain,BHR,Fully Vac,63.769
Bangladesh,BGD,Fully Vac,4.236
Barbados,BRB,Fully Vac,32.26
Belarus,BLR,Fully Vac,12.579
Belgium,BEL,Fully Vac,69.466
Belize,BLZ,Fully Vac,16.812
Benin,BEN,Fully Vac,0.533
Bhutan,BTN,Fully Vac,61.615
Bolivia,BOL,Fully Vac,21.613
Bosnia and Herzegovina,BIH,Fully Vac,11.001
Botswana,BWA,Fully Vac,8.44
Brazil,BRA,Fully Vac,26.008
Brunei,BRN,Fully Vac,14.934
Bulgaria,BGR,Fully Vac,16.616
Burkina Faso,BFA,Fully Vac,0.065
Cambodia,KHM,Fully Vac,47.653
Cameroon,CMR,Fully Vac,0.295
Canada,CAN,Fully Vac,66.632
Cape Verde,CPV,Fully Vac,11.947
Central African Republic,CAF,Fully Vac,0.538
Chad,TCD,Fully Vac,0.089
Chile,CHL,Fully Vac,67.05
China,CHN,Fully Vac,
Colombia,COL,Fully Vac,28.396
Comoros,COM,Fully Vac,11.774
Costa Rica,CRI,Fully Vac,19.699
Croatia,HRV,Fully Vac,39.592
Cuba,CUB,Fully Vac,39.718
Cyprus,CYP,Fully Vac,57.996
Czech Republic,CZE,Fully Vac,53.085
Democratic Republic of the Congo,COD,Fully Vac,0.012
Denmark,DNK,Fully Vac,71.238
Djibouti,DJI,Fully Vac,1.54
Dominican Republic,DOM,Fully Vac,42.495
East Timor,TLS,Fully Vac,13.759
Ecuador,ECU,Fully Vac,42.702
Egypt,EGY,Fully Vac,3.053
El Salvador,SLV,Fully Vac,39.391
Equatorial Guinea,GNQ,Fully Vac,9.958
Estonia,EST,Fully Vac,40.509
Eswatini,SWZ,Fully Vac,12.975
Ethiopia,ETH,Fully Vac,0.345
Fiji,FJI,Fully Vac,26.204
Finland,FIN,Fully Vac,50.015
France,FRA,Fully Vac,59.944
Gabon,GAB,Fully Vac,2.383
Georgia,GEO,Fully Vac,9.397
Germany,DEU,Fully Vac,60.123
Ghana,GHA,Fully Vac,1.307
Greece,GRC,Fully Vac,53.291
Greenland,GRL,Fully Vac,55.161
Grenada,GRD,Fully Vac,16.458
Guatemala,GTM,Fully Vac,5.483
Guinea,GIN,Fully Vac,2.802
Guyana,GUY,Fully Vac,20.273
Haiti,HTI,Fully Vac,0.042
Honduras,HND,Fully Vac,10.786
Hungary,HUN,Fully Vac,56.352
Iceland,ISL,Fully Vac,72.372
India,IND,Fully Vac,9.761
Indonesia,IDN,Fully Vac,11.993
Iran,IRN,Fully Vac,9.423
Iraq,IRQ,Fully Vac,0.966
Ireland,IRL,Fully Vac,67.243
Israel,ISR,Fully Vac,63.183
Italy,ITA,Fully Vac,60.695
Ivory Coast,CIV,Fully Vac,0.944
Jamaica,JAM,Fully Vac,4.74
Japan,JPN,Fully Vac,40.937
Jordan,JOR,Fully Vac,28.115
Kazakhstan,KAZ,Fully Vac,28.14
Kenya,KEN,Fully Vac,1.486
Kiribati,KIR,Fully Vac,
Kuwait,KWT,Fully Vac,
Kyrgyzstan,KGZ,Fully Vac,6.62
Laos,LAO,Fully Vac,22.606
Latvia,LVA,Fully Vac,39.514
Lebanon,LBN,Fully Vac,17.428
Lesotho,LSO,Fully Vac,1.502
Liberia,LBR,Fully Vac,0.542
Libya,LBY,Fully Vac,1.165
Liechtenstein,LIE,Fully Vac,52.84
Lithuania,LTU,Fully Vac,53.366
Luxembourg,LUX,Fully Vac,56.449
Madagascar,MDG,Fully Vac,
Malawi,MWI,Fully Vac,2.078
Malaysia,MYS,Fully Vac,37.323
Mali,MLI,Fully Vac,0.427
Malta,MLT,Fully Vac,80.029
Marshall Islands,MHL,Fully Vac,30.344
Mauritania,MRT,Fully Vac,6.983
Mauritius,MUS,Fully Vac,54.787
Mexico,MEX,Fully Vac,25.035
Micronesia,FSM,Fully Vac,29.045
Moldova,MDA,Fully Vac,16.757
Mongolia,MNG,Fully Vac,62.58
Montenegro,MNE,Fully Vac,28.816
Morocco,MAR,Fully Vac,38.917
Mozambique,MOZ,Fully Vac,2.093
Myanmar,MMR,Fully Vac,3.302
Namibia,NAM,Fully Vac,3.8
Nepal,NPL,Fully Vac,13.24
Netherlands,NLD,Fully Vac,61.48
New Zealand,NZL,Fully Vac,18.613
Nicaragua,NIC,Fully Vac,3.06
Niger,NER,Fully Vac,0.361
Nigeria,NGA,Fully Vac,0.692
North Macedonia,MKD,Fully Vac,24.806
Norway,NOR,Fully Vac,54.361
Oman,OMN,Fully Vac,6.599
Pakistan,PAK,Fully Vac,6.913
Palau,PLW,Fully Vac,77.99
Palestine,PSE,Fully Vac,8.489
Panama,PAN,Fully Vac,32.24
Papua New Guinea,PNG,Fully Vac,0.324
Paraguay,PRY,Fully Vac,23.298
Peru,PER,Fully Vac,23.391
Philippines,PHL,Fully Vac,11.853
Poland,POL,Fully Vac,49.275
Portugal,PRT,Fully Vac,72.654
Republic of the Congo,COG,Fully Vac,1.745
Romania,ROU,Fully Vac,26.457
Russia,RUS,Fully Vac,24.707
Rwanda,RWA,Fully Vac,3.114
Saint Kitts and Nevis,KNA,Fully Vac,39.703
Saint Lucia,LCA,Fully Vac,15.006
Saint Vincent and the Grenadines,VCT,Fully Vac,9.26
Samoa,WSM,Fully Vac,18.912
Sao Tome and Principe,STP,Fully Vac,5.418
Saudi Arabia,SAU,Fully Vac,41.873
Senegal,SEN,Fully Vac,4.142
Serbia,SRB,Fully Vac,40.417
Seychelles,SYC,Fully Vac,71.625
Sierra Leone,SLE,Fully Vac,0.423
Singapore,SGP,Fully Vac,72.351
Slovakia,SVK,Fully Vac,39.306
Slovenia,SVN,Fully Vac,42.939
Solomon Islands,SLB,Fully Vac,2.566
Somalia,SOM,Fully Vac,0.605
South Africa,ZAF,Fully Vac,8.669
South Sudan,SSD,Fully Vac,0.043
Spain,ESP,Fully Vac,68.577
Sri Lanka,LKA,Fully Vac,27.784
Sudan,SDN,Fully Vac,0.424
Suriname,SUR,Fully Vac,20.638
Sweden,SWE,Fully Vac,53.618
Syria,SYR,Fully Vac,1.154
Tajikistan,TJK,Fully Vac,3.815
Tanzania,TZA,Fully Vac,0.35
Thailand,THA,Fully Vac,8.926
The Bahamas,BHS,Fully Vac,13.438
The Gambia,GMB,Fully Vac,6.4
Togo,TGO,Fully Vac,2.158
Tonga,TON,Fully Vac,25.663
Trinidad and Tobago,TTO,Fully Vac,27.281
Tunisia,TUN,Fully Vac,12.076
Turkey,TUR,Fully Vac,43.303
Turkmenistan,TKM,Fully Vac,0.162
Uganda,UGA,Fully Vac,0.53
Ukraine,UKR,Fully Vac,8.22
United Arab Emirates,ARE,Fully Vac,
United Kingdom,GBR,Fully Vac,61.59
United States,USA,Fully Vac,52.184
Uruguay,URY,Fully Vac,71.621
Uzbekistan,UZB,Fully Vac,
Vanuatu,VUT,Fully Vac,2.148
Venezuela,VEN,Fully Vac,11.698
Vietnam,VNM,Fully Vac,1.681
Yemen,YEM,Fully Vac,0.045
Zambia,ZMB,Fully Vac,1.086
Zimbabwe,ZWE,Fully Vac,9.824
